orig.folder.id	new.folder.id	note
TaiEast_1_0689991_0646193_20140715_problem with date and time	TaiEast_1_0689991_0646193_20140715	
TaiEast_32_0690405_0644568_20140710+(date=day+1 until PICT0019)	TaiEast_32_0690405_0644568_20140710	
TaiEast_33_0691636_0643561_20140711_date_+1	TaiEast_33_0691636_0643561_20140711	
TaiEast_33_0691636_0643561_20140723_date_+1	TaiEast_33_0691636_0643561_20140723	
TaiEast_33_0691636_0643561_20140810_date_+1	TaiEast_33_0691636_0643561_20140810	
TaiEast_33_0691636_0643561_20140921_date_+1	TaiEast_33_0691636_0643561_20140921	
TaiEast_36_0690741_0646074_20140813(day=+1)	TaiEast_36_0690741_0646074_20140813	
TaiEast_36_0690741_0646074_20140925(day=+1)	TaiEast_36_0690741_0646074_20140925	
TaiEast_37_0690712_0646203_20150120+ (leopard video somewhere)	TaiEast_37_0690712_0646203_20150120	
TaiEast_58_0691204_0641570_20141213+(not watched)	TaiEast_58_0691204_0641570_20141213	
TaiEast_68_0693086_0642384_20150129+(wrong date and time on videos)	TaiEast_68_0693086_0642384_20150129	
TaiEast_69_0693430_0642170_20140807+(month=+1 day=-1)	TaiEast_69_0693430_0642170_20140807	
TaiEast_70_0693314_0643206_20150126 (wrong year)	TaiEast_70_0693314_0643206_20150126	
TaiEast_76_0688716_0646274_20140812+(wrong date)	TaiEast_76_0688716_0646274_20140812	
TaiEast_78_0691187_0642026_20141119+(wrong date)	TaiEast_78_0691187_0642026_20141119	
TaiEast_19_0690226_0643742_20141206	TaiEast_19_0690226_0643942_20141206	?
TaiEast_19_0690226_0643742_20150125	TaiEast_19_0690226_0643742_20150115	?
TaiEast_22_0691067_0645326_20140721	TaiEast_22_0691057_0645326_20140721	?
TaiEast_29_0691019_0644568_20140909	TaiEast_29_0691019_0644569_20140909	?
TaiEast_29_0691019_0644568_20141105	TaiEast_29_0691019_0644069_20141105	?
TaiEast_33_0691636_0643561_20140921	TaiEast_33_0691636_0643561_20140921(date+1)	?
"TaiEast_69_0693430_0642170_20140807+(month=+1, day=-1)"	"TaiEast_69_0693430_0642170_20140807(month=+1, day=-1)"	?
TaiEast_9_0690010_0645198_20141011	TaiEast_9_0690010_0645198_20141011(time=+1h)	?
