"clip.id"	"folder.file.id"	"start.time"	"url"
"ACP000gops"	"TaiEast_1_loc29_20140627_EK000009"	0	"http://www.chimpandsee.org/subjects/570d10603fc33c0001bf7299/570d10603fc33c0001bf7299.mp4"
"ACP000gop6"	"TaiEast_1_loc29_20140627_EK000010"	0	"http://www.chimpandsee.org/subjects/570d105e3fc33c0001bf7283/570d105e3fc33c0001bf7283.mp4"
"ACP000go7i"	"TaiEast_1_loc29_20141103_EK000007"	0	"http://www.chimpandsee.org/subjects/570d103a3fc33c0001bf7007/570d103a3fc33c0001bf7007.mp4"
"ACP000go3o"	"TaiEast_1_loc29_20141103_EK000008"	15	"http://www.chimpandsee.org/subjects/570d10323fc33c0001bf6f7d/570d10323fc33c0001bf6f7d.mp4"
"ACP000go3p"	"TaiEast_1_loc29_20141103_EK000008"	30	"http://www.chimpandsee.org/subjects/570d10323fc33c0001bf6f7e/570d10323fc33c0001bf6f7e.mp4"
"ACP000go6u"	"TaiEast_1_loc29_20141103_EK000012"	15	"http://www.chimpandsee.org/subjects/570d10383fc33c0001bf6fef/570d10383fc33c0001bf6fef.mp4"
"ACP000go6a"	"TaiEast_1_loc29_20141103_EK000017"	45	"http://www.chimpandsee.org/subjects/570d10373fc33c0001bf6fdb/570d10373fc33c0001bf6fdb.mp4"
"ACP000go5p"	"TaiEast_1_loc29_20141103_EK000031"	15	"http://www.chimpandsee.org/subjects/570d10363fc33c0001bf6fc5/570d10363fc33c0001bf6fc5.mp4"
"ACP000go53"	"TaiEast_1_loc29_20141103_EK000033"	0	"http://www.chimpandsee.org/subjects/570d10343fc33c0001bf6fb0/570d10343fc33c0001bf6fb0.mp4"
"ACP000go54"	"TaiEast_1_loc29_20141103_EK000033"	15	"http://www.chimpandsee.org/subjects/570d10353fc33c0001bf6fb1/570d10353fc33c0001bf6fb1.mp4"
"ACP000go5m"	"TaiEast_1_loc29_20141103_EK000034"	0	"http://www.chimpandsee.org/subjects/570d10363fc33c0001bf6fc3/570d10363fc33c0001bf6fc3.mp4"
"ACP000go5q"	"TaiEast_1_loc29_20141103_EK000034"	15	"http://www.chimpandsee.org/subjects/570d10363fc33c0001bf6fc7/570d10363fc33c0001bf6fc7.mp4"
"ACP000go5u"	"TaiEast_1_loc29_20141103_EK000034"	45	"http://www.chimpandsee.org/subjects/570d10363fc33c0001bf6fcb/570d10363fc33c0001bf6fcb.mp4"
"ACP000go5h"	"TaiEast_1_loc29_20141103_EK000036"	15	"http://www.chimpandsee.org/subjects/570d10363fc33c0001bf6fbe/570d10363fc33c0001bf6fbe.mp4"
"ACP000go43"	"TaiEast_1_loc29_20141103_EK000037"	0	"http://www.chimpandsee.org/subjects/570d10333fc33c0001bf6f8c/570d10333fc33c0001bf6f8c.mp4"
"ACP000go61"	"TaiEast_1_loc29_20141103_EK000041"	15	"http://www.chimpandsee.org/subjects/570d10373fc33c0001bf6fd2/570d10373fc33c0001bf6fd2.mp4"
"ACP000govk"	"TaiEast_1_loc29_20141118_EK000004"	15	"http://www.chimpandsee.org/subjects/570d106d3fc33c0001bf7369/570d106d3fc33c0001bf7369.mp4"
"ACP000govm"	"TaiEast_1_loc29_20141118_EK000004"	30	"http://www.chimpandsee.org/subjects/570d106d3fc33c0001bf736b/570d106d3fc33c0001bf736b.mp4"
"ACP000goxx"	"TaiEast_1_loc29_20141118_EK000005"	15	"http://www.chimpandsee.org/subjects/570d10713fc33c0001bf73be/570d10713fc33c0001bf73be.mp4"
"ACP000goy1"	"TaiEast_1_loc29_20141118_EK000005"	45	"http://www.chimpandsee.org/subjects/570d10713fc33c0001bf73c2/570d10713fc33c0001bf73c2.mp4"
"ACP000gou9"	"TaiEast_1_loc29_20141118_EK000014"	0	"http://www.chimpandsee.org/subjects/570d106a3fc33c0001bf733a/570d106a3fc33c0001bf733a.mp4"
"ACP000gorg"	"TaiEast_1_loc29_20141118_EK000016"	0	"http://www.chimpandsee.org/subjects/570d10643fc33c0001bf72d5/570d10643fc33c0001bf72d5.mp4"
"ACP000gorh"	"TaiEast_1_loc29_20141118_EK000016"	15	"http://www.chimpandsee.org/subjects/570d10643fc33c0001bf72d6/570d10643fc33c0001bf72d6.mp4"
"ACP000gori"	"TaiEast_1_loc29_20141118_EK000016"	30	"http://www.chimpandsee.org/subjects/570d10643fc33c0001bf72d7/570d10643fc33c0001bf72d7.mp4"
